epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,35221.9,2.29837,3.07543,2.12918,1.29677,0,0.36401,0.41871,0.3656,0.16101,0.35053,0.37683,0.3221,0.12985,2.28321,2.90408,2.0979,1.37481,0,0.00105638,0.00105638,0.00105638
39,36129.7,2.28817,3.03261,2.1064,1.3089,0,0.39786,0.42577,0.38961,0.17128,0.36366,0.38266,0.33932,0.13778,2.27851,2.90585,2.11901,1.38213,0,0.00103987,0.00103987,0.00103987
40,37035.5,2.27501,3.01437,2.08651,1.29631,0,0.48391,0.4109,0.40553,0.17058,0.41146,0.36717,0.32951,0.12235,2.23301,2.90123,2.05128,1.35899,0,0.00102337,0.00102337,0.00102337
41,37945.8,2.29097,3.03667,2.09039,1.30331,0,0.36598,0.42242,0.37614,0.16781,0.32665,0.38068,0.33359,0.13654,2.23683,2.92623,2.09249,1.32121,0,0.00100687,0.00100687,0.00100687
42,38865.5,2.28308,3.02882,2.08486,1.30092,0,0.34868,0.41088,0.352,0.1406,0.30776,0.36693,0.29635,0.10991,2.30173,2.96378,2.21639,1.34579,0,0.000990365,0.000990365,0.000990365
43,39780.8,2.25507,3.00677,2.04738,1.29837,0,0.38697,0.41404,0.36785,0.16355,0.34381,0.36595,0.31529,0.12218,2.20986,2.87915,2.06517,1.34906,0,0.000973861,0.000973861,0.000973861
44,40701.3,2.27355,3.02965,2.06666,1.29165,0,0.38214,0.40495,0.3735,0.16475,0.34406,0.36427,0.32216,0.12656,2.21551,2.89331,2.07999,1.33931,0,0.000957358,0.000957358,0.000957358
45,41615.2,2.26236,3.04762,2.06039,1.29252,0,0.42097,0.39042,0.37077,0.1593,0.371,0.35946,0.3198,0.12466,2.23902,2.89437,2.07911,1.34412,0,0.000940855,0.000940855,0.000940855
46,42534,2.23746,2.99082,2.05241,1.28579,0,0.39276,0.40439,0.37172,0.16858,0.35301,0.35921,0.31777,0.13113,2.23533,2.88596,2.06288,1.31668,0,0.000924352,0.000924352,0.000924352
47,43449.2,2.27785,3.0311,2.03861,1.29933,0,0.42773,0.41555,0.39128,0.17657,0.41992,0.3709,0.34135,0.14085,2.23007,2.87995,2.05038,1.34249,0,0.000907848,0.000907848,0.000907848
